날짜,중량(kg),등급,가격(원)
2000-08-26,15,하,16000
2000-08-26,15,중,27500
2000-08-26,15,상,42500
2000-08-28,15,하,21000
2000-08-28,15,중,36000
2000-08-28,15,상,52500
2000-08-29,15,중,36000
2000-08-29,15,상,55000
2000-08-29,15,하,21000
2000-08-30,15,하,25500
2000-08-30,15,중,47500
2000-08-30,15,상,70000
2000-08-30,15,특,100000
2000-08-31,15,특,100000
2000-08-31,15,중,47500
2000-08-31,15,하,25500
2000-08-31,15,상,70000
2000-09-01,15,하,25500
2000-09-01,15,중,47500
2000-09-01,15,특,100000
2000-09-01,15,상,70000
2000-09-02,15,하,25000
2000-09-02,15,중,45000
2000-09-02,15,상,67500
2000-09-02,15,특,100000
2000-09-02,10,특,90000
2000-09-04,10,특,70000
2000-09-04,15,중,42500
2000-09-04,15,상,65000
2000-09-04,15,특,90000
2000-09-04,15,하,25000
2000-09-05,15,하,25000
2000-09-05,15,중,42500
2000-09-05,15,상,65000
2000-09-05,15,특,90000
2000-09-05,10,특,70000
2000-09-06,15,하,25000
2000-09-06,15,중,42500
2000-09-06,15,상,65000
2000-09-06,15,특,90000
2000-09-06,10,특,60000
2000-09-07,15,중,41500
2000-09-07,10,특,60000
2000-09-07,15,특,90000
2000-09-07,15,상,65000
2000-09-07,15,하,23000
2000-09-08,15,하,16500
2000-09-08,15,중,40000
2000-09-08,15,상,60000
2000-09-08,15,특,90000
2000-09-08,10,특,60000
2000-09-09,15,하,14000
2000-09-09,15,중,40000
2000-09-09,15,상,60000
2000-09-09,15,특,90000
2000-09-09,10,특,60000
2000-09-10,15,상,42500
2000-09-10,15,중,26500
2000-09-10,15,하,11000
2000-09-10,15,특,65000
2000-09-10,10,특,45000
2000-09-11,15,하,11000
2000-09-11,15,중,26500
2000-09-11,15,상,42500
2000-09-11,15,특,65000
2000-09-11,10,특,45000
2000-09-16,15,중,20500
2000-09-16,15,상,29000
2000-09-16,15,하,12000
2000-09-18,15,하,12500
2000-09-18,15,중,21500
2000-09-18,15,상,30500
2000-09-19,15,하,12500
2000-09-19,15,중,21500
2000-09-19,15,상,30500
2000-09-19,15,특,40000
2000-09-20,15,상,31500
2000-09-20,15,하,13000
2000-09-20,15,중,23000
2000-09-20,15,특,40000
2000-09-21,15,하,9500
2000-09-21,15,중,16500
2000-09-21,15,상,25000
2000-09-22,15,중,20000
2000-09-22,15,상,30000
2000-09-22,15,하,10500
2000-09-23,15,중,20500
2000-09-23,15,상,30000
2000-09-23,15,하,11000
2000-09-25,15,하,9000
2000-09-25,15,중,16000
2000-09-25,15,상,27500
2000-09-26,15,하,9000
2000-09-26,15,중,16000
2000-09-26,15,상,27500
2000-09-27,15,상,27500
2000-09-27,15,하,9500
2000-09-27,15,중,16500
2000-09-28,15,하,9500
2000-09-28,15,상,26500
2000-09-28,15,중,16500
