날짜,한화
2024-09-26,92936.31099999999
2024-09-25,94857.74760000002
2024-09-24,94398.0856
2024-09-23,95020.575
2024-09-20,95798.549
2024-09-19,92779.1848
2024-09-18,94015.7784
2024-09-17,93119.92499999999
2024-09-16,91984.87479999999
2024-09-13,92689.6492
2024-09-12,90288.4481
2024-09-11,89100.204
2024-09-10,92359.1596
2024-09-09,91210.4001
2024-09-06,92459.1813
2024-09-05,92486.5332
2024-09-04,94246.1828
2024-09-03,98401.5225
2024-09-02,97642.61
2024-09-01,97846.41889999999
2024-08-30,101475.36630000001
2024-08-29,98779.8986
2024-08-28,100645.2375
2024-08-27,102273.016
2024-08-26,100836.76999999999
2024-08-23,97349.0688
2024-08-22,95615.8297
2024-08-21,97421.432
2024-08-20,100361.9736
2024-08-19,104544.71860000001
2024-08-16,106164.72799999999
2024-08-15,105655.1088
2024-08-14,107886.0809
2024-08-13,108860.2506
2024-08-12,105788.87939999999
2024-08-09,104614.923
2024-08-08,103820.3055
2024-08-07,99655.31760000001
2024-08-06,100312.2204
2024-08-05,101696.6419
2024-08-02,105248.86660000001
2024-08-01,108793.7088
2024-07-31,103969.64159999999
2024-07-30,105121.6862
2024-07-29,106962.329
2024-07-26,108416.81249999999
2024-07-25,107418.875
2024-07-24,107499.8255
2024-07-23,108781.99409999998
2024-07-22,111421.3439
2024-07-19,113781.3849
2024-07-18,115010.94239999999
2024-07-17,112002.31349999999
2024-07-16,112650.6496
2024-07-15,112748.16799999999
2024-07-12,114673.2684
2024-07-11,114030.064
2024-07-10,113239.76580000001
2024-07-09,113258.8722
2024-07-08,114773.60800000001
2024-07-05,116002.52399999999
2024-07-04,115944.4953
2024-07-03,115109.696
2024-07-02,115240.1904
2024-07-01,113028.9795
2024-06-28,114138.2166
2024-06-27,112523.15879999999
2024-06-26,111941.68879999999
2024-06-25,113477.21500000001
2024-06-24,112037.888
2024-06-21,112351.7115
2024-06-20,112476.40479999999
2024-06-19,111471.55320000001
2024-06-18,111259.6233
2024-06-17,108025.3656
2024-06-14,106889.39679999999
2024-06-13,108048.71900000001
2024-06-12,107537.6382
2024-06-11,107810.2872
2024-06-10,102823.36349999998
2024-06-07,103656.5495
2024-06-06,102119.406
2024-06-05,99996.93000000001
2024-06-04,102377.06199999999
2024-06-03,105933.811
2024-05-31,106850.4486
2024-05-30,108127.6136
2024-05-29,109289.2394
2024-05-28,106367.0481
2024-05-27,106539.60800000001
2024-05-24,105289.02720000001
2024-05-23,105455.24890000002
2024-05-22,106479.0045
2024-05-21,107898.657
2024-05-20,107995.0977
2024-05-17,107438.44859999999
2024-05-16,107654.44320000001
2024-05-15,107216.49839999998
2024-05-14,108633.0453
2024-05-13,106800.13440000001
2024-05-10,108648.309
2024-05-09,107708.4312
2024-05-08,106189.87000000001
2024-05-07,106841.1456
2024-05-06,106918.1904
2024-05-03,108997.2043
2024-05-02,109704.2745
2024-05-01,112067.59200000002
2024-04-30,114051.556
2024-04-29,114836.0704
2024-04-26,115473.418
2024-04-25,113794.33889999999
2024-04-24,115036.122
2024-04-23,112969.81499999999
2024-04-22,114652.186
2024-04-19,114027.16680000002
2024-04-18,115073.96050000002
2024-04-17,118483.94799999999
2024-04-16,118317.42
2024-04-15,117593.48640000001
2024-04-12,116760.968
2024-04-11,116740.89439999999
2024-04-10,115622.89899999999
2024-04-09,117006.4693
2024-04-08,116377.065
2024-04-05,116867.5242
2024-04-04,115805.4672
2024-04-03,115685.49279999999
2024-04-02,113145.5732
2024-04-01,112297.198
2024-03-28,110353.44049999998
2024-03-27,109261.889
2024-03-26,109770.10160000001
2024-03-25,108670.48499999999
2024-03-22,107954.54440000001
2024-03-21,108437.9281
2024-03-20,111278.33600000001
2024-03-19,110771.27849999999
2024-03-18,107859.033
2024-03-15,107486.15800000001
2024-03-14,104637.80149999999
2024-03-13,102452.1888
2024-03-12,102417.3777
2024-03-11,102458.71
2024-03-08,105287.142
2024-03-07,105252.39559999999
2024-03-06,104453.727
2024-03-05,104885.61699999998
2024-03-04,106674.35399999999
2024-03-01,104567.2068
2024-02-29,104467.38
2024-02-28,104560.4736
2024-02-27,103418.5594
2024-02-26,101619.64
2024-02-23,104036.9587
2024-02-22,104121.3015
2024-02-21,102926.5865
2024-02-20,105429.61220000002
2024-02-19,104183.372
2024-02-16,103848.8072
2024-02-15,102038.85999999999
2024-02-14,104359.55010000001
2024-02-13,102395.97899999999
2024-02-12,102002.85800000001
2024-02-09,101834.2352
2024-02-08,98429.3552
2024-02-07,97554.345
2024-02-06,97057.4744
2024-02-05,97303.125
2024-02-02,98281.0834
2024-02-01,101365.58159999999
2024-01-31,103612.824
2024-01-30,102714.64219999999
2024-01-29,105564.255
2024-01-26,103173.46650000001
2024-01-25,100405.773
2024-01-24,99856.68699999999
2024-01-23,100037.59400000001
2024-01-22,97910.5875
2024-01-19,99248.68
2024-01-18,97918.21200000001
2024-01-17,96408.72
2024-01-16,95913.7254
2024-01-15,95511.0255
2024-01-12,95978.946
2024-01-11,94110.66209999999
2024-01-10,95306.9803
2024-01-09,93045.9747
2024-01-08,96673.001
2024-01-05,95172.69600000001
2024-01-04,95712.34640000001
2024-01-03,92421.975
2024-01-02,92742.54299999999
