날짜,등급,가격(원)
2000-08-26,상,2833.3333333333335
2000-08-28,상,3500.0
2000-08-29,상,3666.6666666666665
2000-08-30,상,4666.666666666667
2000-08-31,상,4666.666666666667
2000-09-01,상,4666.666666666667
2000-09-02,상,4500.0
2000-09-04,상,4333.333333333333
2000-09-05,상,4333.333333333333
2000-09-06,상,4333.333333333333
2000-09-07,상,4333.333333333333
2000-09-08,상,4000.0
2000-09-09,상,4000.0
2000-09-10,상,2833.3333333333335
2000-09-11,상,2833.3333333333335
2000-09-16,상,1933.3333333333333
2000-09-18,상,2033.3333333333333
2000-09-19,상,2033.3333333333333
2000-09-20,상,2100.0
2000-09-21,상,1666.6666666666667
2000-09-22,상,2000.0
2000-09-23,상,2000.0
2000-09-25,상,1833.3333333333333
2000-09-26,상,1833.3333333333333
2000-09-27,상,1833.3333333333333
2000-09-28,상,1766.6666666666667
2000-09-29,상,1833.3333333333333
2000-09-30,상,2333.3333333333335
2000-10-02,상,2333.3333333333335
2000-10-03,상,2333.3333333333335
2001-08-28,상,2200.0
2001-08-29,상,2200.0
2001-08-30,상,2200.0
2001-08-31,상,2266.6666666666665
2001-09-01,상,2266.6666666666665
2001-09-03,상,2166.6666666666665
2001-09-04,상,2266.6666666666665
2001-09-05,상,2266.6666666666665
2001-09-06,상,2233.3333333333335
2001-09-07,상,2233.3333333333335
2001-09-08,상,2200.0
2001-09-10,상,2200.0
2001-09-11,상,2200.0
2001-09-12,상,2366.6666666666665
2001-09-13,상,2433.3333333333335
2001-09-14,상,2400.0
2001-09-15,상,2466.6666666666665
2001-09-17,상,2666.6666666666665
2001-09-18,상,2733.3333333333335
2001-09-19,상,2700.0
2001-09-20,상,2766.6666666666665
2001-09-21,상,2700.0
2001-09-22,상,2700.0
2001-09-24,상,2500.0
2001-09-25,상,2466.6666666666665
2001-09-26,상,2366.6666666666665
2001-09-27,상,2300.0
2001-09-28,상,2300.0
2001-09-29,상,2200.0
2001-09-30,상,2200.0
2002-08-23,상,2933.3333333333335
2002-08-24,상,2933.3333333333335
2002-08-26,상,2933.3333333333335
2002-08-27,상,2933.3333333333335
2002-08-28,상,2666.6666666666665
2002-08-29,상,2666.6666666666665
