날짜,등급,가격(원)
2000-08-26,중,1833.3333333333333
2000-08-28,중,2400.0
2000-08-29,중,2400.0
2000-08-30,중,3166.6666666666665
2000-08-31,중,3166.6666666666665
2000-09-01,중,3166.6666666666665
2000-09-02,중,3000.0
2000-09-04,중,2833.3333333333335
2000-09-05,중,2833.3333333333335
2000-09-06,중,2833.3333333333335
2000-09-07,중,2766.6666666666665
2000-09-08,중,2666.6666666666665
2000-09-09,중,2666.6666666666665
2000-09-10,중,1766.6666666666667
2000-09-11,중,1766.6666666666667
2000-09-16,중,1366.6666666666667
2000-09-18,중,1433.3333333333333
2000-09-19,중,1433.3333333333333
2000-09-20,중,1533.3333333333333
2000-09-21,중,1100.0
2000-09-22,중,1333.3333333333333
2000-09-23,중,1366.6666666666667
2000-09-25,중,1066.6666666666667
2000-09-26,중,1066.6666666666667
2000-09-27,중,1100.0
2000-09-28,중,1100.0
2000-09-29,중,1100.0
2000-09-30,중,1500.0
2000-10-02,중,1500.0
2000-10-03,중,1500.0
2001-08-28,중,1666.6666666666667
2001-08-29,중,1666.6666666666667
2001-08-30,중,1666.6666666666667
2001-08-31,중,1666.6666666666667
2001-09-01,중,1666.6666666666667
2001-09-03,중,1600.0
2001-09-04,중,1400.0
2001-09-05,중,1533.3333333333333
2001-09-06,중,1566.6666666666667
2001-09-07,중,1566.6666666666667
2001-09-08,중,1566.6666666666667
2001-09-10,중,1566.6666666666667
2001-09-11,중,1566.6666666666667
2001-09-12,중,1700.0
2001-09-13,중,1733.3333333333333
2001-09-14,중,1766.6666666666667
2001-09-15,중,1833.3333333333333
2001-09-17,중,2100.0
2001-09-18,중,2133.3333333333335
2001-09-19,중,2100.0
2001-09-20,중,2133.3333333333335
2001-09-21,중,2100.0
2001-09-22,중,2100.0
2001-09-24,중,1933.3333333333333
2001-09-25,중,1900.0
2001-09-26,중,1766.6666666666667
2001-09-27,중,1666.6666666666667
2001-09-28,중,1700.0
2001-09-29,중,1600.0
2001-09-30,중,1600.0
2002-08-23,중,1433.3333333333333
2002-08-24,중,1433.3333333333333
2002-08-26,중,1433.3333333333333
2002-08-27,중,1433.3333333333333
2002-08-28,중,1333.3333333333333
2002-08-29,중,1333.3333333333333
2002-08-30,중,1333.3333333333333
2002-08-31,중,1333.3333333333333
2002-09-02,중,1600.0
2002-09-03,중,1600.0
2002-09-04,중,1733.3333333333333
2002-09-05,중,1733.3333333333333
2002-09-06,중,1866.6666666666667
2002-09-07,중,1866.6666666666667
2002-09-09,중,1866.6666666666667
2002-09-10,중,1800.0
2002-09-11,중,1700.0
2002-09-12,중,1700.0
2002-09-13,중,1666.6666666666667
2002-09-14,중,1533.3333333333333
2002-09-16,중,1433.3333333333333
2002-09-17,중,1366.6666666666667
2002-09-18,중,1266.6666666666667
2002-09-19,중,966.6666666666666
2002-09-20,중,966.6666666666666
2002-09-24,중,800.0
2002-09-25,중,766.6666666666666
2002-09-26,중,666.6666666666666
2002-09-27,중,700.0
2002-09-28,중,700.0
2003-08-18,중,2433.3333333333335
2003-08-19,중,2400.0
2003-08-20,중,2400.0
2003-08-21,중,2433.3333333333335
2003-08-22,중,2166.6666666666665
2003-08-23,중,2000.0
2003-08-25,중,1666.6666666666667
2003-08-26,중,1500.0
2003-08-27,중,1566.6666666666667
2003-08-28,중,1366.6666666666667
2003-08-29,중,1233.3333333333333
2003-08-30,중,1500.0
2003-09-01,중,2566.6666666666665
2003-09-02,중,2533.3333333333335
2003-09-03,중,2183.3333333333335
2003-09-04,중,2050.0
2003-09-05,중,2033.3333333333337
2003-09-06,중,2283.3333333333335
2003-09-08,중,1916.6666666666663
2003-09-09,중,1766.6666666666667
2003-09-10,중,1766.6666666666667
2003-09-15,중,1233.3333333333333
2003-09-16,중,1166.6666666666667
2003-09-17,중,1233.3333333333333
2003-09-18,중,1033.3333333333333
2003-09-19,중,1100.0
2003-09-20,중,1100.0
2003-09-22,중,1233.3333333333333
2003-09-23,중,1200.0
2003-09-24,중,1333.3333333333333
2003-09-25,중,1333.3333333333333
2003-09-26,중,1333.3333333333333
2003-09-27,중,1400.0
2003-09-29,중,1400.0
2003-09-30,중,1466.6666666666667
2003-10-01,중,1366.6666666666667
2003-10-02,중,1366.6666666666667
2003-10-03,중,1400.0
2004-08-17,중,1133.3333333333333
2004-08-18,중,1333.3333333333333
2004-08-19,중,1400.0
2004-08-20,중,1366.6666666666667
2004-08-21,중,1366.6666666666667
2004-08-23,중,1766.6666666666667
2004-08-24,중,2000.0
2004-08-25,중,2066.6666666666665
2004-08-26,중,2950.0
2004-08-27,중,2000.0
2004-08-28,중,1783.3333333333337
2004-08-30,중,1750.0
2004-08-31,중,1750.0
2004-09-01,중,2016.6666666666663
2004-09-02,중,2200.0
2004-09-03,중,2133.3333333333335
2004-09-04,중,2266.6666666666665
2004-09-06,중,2233.3333333333335
2004-09-07,중,2216.6666666666665
2004-09-08,중,2250.0
2004-09-09,중,2166.6666666666665
2004-09-10,중,2150.0
2004-09-11,중,1983.3333333333337
2004-09-13,중,2300.0
2004-09-14,중,2200.0
2004-09-15,중,2250.0
2004-09-16,중,2283.3333333333335
2004-09-17,중,2616.6666666666665
2004-09-18,중,2583.3333333333335
2004-09-20,중,2283.3333333333335
2004-09-21,중,3016.6666666666665
2004-09-22,중,3133.333333333333
2004-09-23,중,2933.3333333333335
2004-09-24,중,2933.3333333333335
2004-09-25,중,2233.3333333333335
2004-09-26,중,2233.3333333333335
2004-09-27,중,2233.3333333333335
2004-10-01,중,2233.3333333333335
