날짜,등급,가격(원)
2000-08-30,특,6666.666666666667
2000-08-31,특,6666.666666666667
2000-09-01,특,6666.666666666667
2000-09-02,특,7833.333333333334
2000-09-04,특,6500.0
2000-09-05,특,6500.0
2000-09-06,특,6000.0
2000-09-07,특,6000.0
2000-09-08,특,6000.0
2000-09-09,특,6000.0
2000-09-10,특,4416.666666666666
2000-09-11,특,4416.666666666666
2000-09-19,특,2666.6666666666665
2000-09-20,특,2666.6666666666665
2001-08-28,특,3100.0
2001-08-29,특,3100.0
2001-08-30,특,3100.0
2001-08-31,특,3100.0
2001-09-01,특,3100.0
2001-09-03,특,3033.3333333333335
2001-09-04,특,3166.6666666666665
2001-09-05,특,3166.6666666666665
2001-09-06,특,3166.6666666666665
2001-09-07,특,3166.6666666666665
2001-09-08,특,3166.6666666666665
2001-09-10,특,3266.6666666666665
2001-09-11,특,3266.6666666666665
2001-09-12,특,3400.0
2001-09-13,특,3433.3333333333335
2001-09-14,특,3333.3333333333335
2001-09-15,특,3433.3333333333335
2001-09-17,특,3666.6666666666665
2001-09-18,특,3600.0
2001-09-19,특,3600.0
2001-09-20,특,3700.0
2001-09-21,특,3566.6666666666665
2001-09-22,특,3566.6666666666665
2001-09-24,특,3333.3333333333335
2001-09-25,특,3500.0
2001-09-26,특,3100.0
2001-09-27,특,3000.0
2001-09-28,특,3000.0
2001-09-29,특,2866.6666666666665
2001-09-30,특,2866.6666666666665
2002-08-23,특,4166.666666666667
2002-08-24,특,4166.666666666667
2002-08-26,특,4166.666666666667
2002-08-27,특,4166.666666666667
2002-08-28,특,3666.6666666666665
2002-08-29,특,3833.3333333333335
2002-08-30,특,3833.3333333333335
2002-08-31,특,3833.3333333333335
2002-09-02,특,4500.0
2002-09-03,특,4500.0
2002-09-04,특,4833.333333333333
2002-09-05,특,4500.0
2002-09-06,특,4233.333333333333
2002-09-07,특,4266.666666666667
2002-09-09,특,4266.666666666667
2002-09-10,특,4233.333333333333
2002-09-11,특,4166.666666666667
2002-09-12,특,4266.666666666667
2002-09-13,특,4000.0
2002-09-14,특,4000.0
2002-09-16,특,3933.3333333333335
2002-09-17,특,3900.0
2002-09-18,특,3866.6666666666665
2002-09-19,특,3366.6666666666665
2002-09-20,특,3366.6666666666665
2002-09-24,특,2700.0
2002-09-25,특,2466.6666666666665
2002-09-26,특,1966.6666666666667
2002-09-27,특,1800.0
2002-09-28,특,1766.6666666666667
2003-08-18,특,7166.666666666667
2003-08-19,특,7166.666666666667
2003-08-20,특,7166.666666666667
2003-08-21,특,7166.666666666667
2003-08-22,특,7166.666666666667
2003-08-23,특,6833.333333333333
2003-08-25,특,6333.333333333333
2003-08-26,특,6333.333333333333
2003-08-27,특,6666.666666666667
2003-08-28,특,5500.0
2003-08-29,특,5666.666666666667
2003-08-30,특,6500.0
2003-09-01,특,7650.0
2003-09-02,특,7933.333333333334
2003-09-03,특,6850.0
