날짜,등급,가격(원)
2000-08-26,하,1066.6666666666667
2000-08-28,하,1400.0
2000-08-29,하,1400.0
2000-08-30,하,1700.0
2000-08-31,하,1700.0
2000-09-01,하,1700.0
2000-09-02,하,1666.6666666666667
2000-09-04,하,1666.6666666666667
2000-09-05,하,1666.6666666666667
2000-09-06,하,1666.6666666666667
2000-09-07,하,1533.3333333333333
2000-09-08,하,1100.0
2000-09-09,하,933.3333333333334
2000-09-10,하,733.3333333333334
2000-09-11,하,733.3333333333334
2000-09-16,하,800.0
2000-09-18,하,833.3333333333334
2000-09-19,하,833.3333333333334
2000-09-20,하,866.6666666666666
2000-09-21,하,633.3333333333334
2000-09-22,하,700.0
2000-09-23,하,733.3333333333334
2000-09-25,하,600.0
2000-09-26,하,600.0
2000-09-27,하,633.3333333333334
2000-09-28,하,633.3333333333334
2000-09-29,하,633.3333333333334
2000-09-30,하,700.0
2000-10-02,하,700.0
2000-10-03,하,700.0
2001-08-28,하,1000.0
2001-08-29,하,1000.0
2001-08-30,하,1000.0
2001-08-31,하,1000.0
2001-09-01,하,1100.0
2001-09-03,하,1066.6666666666667
2001-09-04,하,1066.6666666666667
2001-09-05,하,1100.0
2001-09-06,하,1100.0
2001-09-07,하,1100.0
2001-09-08,하,1100.0
2001-09-10,하,1066.6666666666667
2001-09-11,하,1066.6666666666667
2001-09-12,하,1100.0
2001-09-13,하,1100.0
2001-09-14,하,1166.6666666666667
2001-09-15,하,1200.0
2001-09-17,하,1433.3333333333333
2001-09-18,하,1433.3333333333333
2001-09-19,하,1366.6666666666667
2001-09-20,하,1333.3333333333333
2001-09-21,하,1333.3333333333333
2001-09-22,하,1266.6666666666667
2001-09-24,하,1033.3333333333333
2001-09-25,하,1100.0
2001-09-26,하,933.3333333333334
2001-09-27,하,900.0
2001-09-28,하,933.3333333333334
2001-09-29,하,866.6666666666666
2001-09-30,하,866.6666666666666
2002-08-23,하,466.6666666666667
2002-08-24,하,466.6666666666667
2002-08-26,하,466.6666666666667
2002-08-27,하,466.6666666666667
2002-08-28,하,466.6666666666667
2002-08-29,하,466.6666666666667
2002-08-30,하,466.6666666666667
2002-08-31,하,466.6666666666667
2002-09-02,하,800.0
2002-09-03,하,800.0
2002-09-04,하,833.3333333333334
2002-09-05,하,833.3333333333334
2002-09-06,하,933.3333333333334
2002-09-07,하,933.3333333333334
2002-09-09,하,900.0
2002-09-10,하,866.6666666666666
2002-09-11,하,800.0
2002-09-12,하,800.0
2002-09-13,하,766.6666666666666
2002-09-14,하,700.0
2002-09-16,하,600.0
2002-09-17,하,600.0
2002-09-18,하,566.6666666666666
2002-09-19,하,466.6666666666667
2002-09-20,하,466.6666666666667
2002-09-24,하,366.6666666666667
2002-09-25,하,366.6666666666667
2002-09-26,하,333.3333333333333
2002-09-27,하,366.6666666666667
2002-09-28,하,366.6666666666667
2003-08-18,하,966.6666666666666
2003-08-19,하,1200.0
2003-08-20,하,1166.6666666666667
2003-08-21,하,1066.6666666666667
2003-08-22,하,1000.0
2003-08-23,하,866.6666666666666
2003-08-25,하,666.6666666666666
2003-08-26,하,633.3333333333334
2003-08-27,하,633.3333333333334
2003-08-28,하,566.6666666666666
2003-08-29,하,533.3333333333334
2003-08-30,하,666.6666666666666
2003-09-01,하,1383.3333333333333
2003-09-02,하,1183.3333333333333
2003-09-03,하,1000.0
2003-09-04,하,883.3333333333334
2003-09-05,하,883.3333333333334
2003-09-06,하,1033.3333333333333
2003-09-08,하,883.3333333333334
2003-09-09,하,666.6666666666666
2003-09-10,하,666.6666666666666
2003-09-15,하,500.0
2003-09-16,하,500.0
2003-09-17,하,533.3333333333334
2003-09-18,하,433.3333333333333
2003-09-19,하,466.6666666666667
2003-09-20,하,533.3333333333334
2003-09-22,하,500.0
2003-09-23,하,500.0
2003-09-24,하,666.6666666666666
2003-09-25,하,766.6666666666666
2003-09-26,하,766.6666666666666
2003-09-27,하,700.0
2003-09-29,하,766.6666666666666
2003-09-30,하,866.6666666666666
2003-10-01,하,833.3333333333334
2003-10-02,하,833.3333333333334
2003-10-03,하,900.0
2004-08-17,하,500.0
2004-08-18,하,533.3333333333334
2004-08-19,하,700.0
2004-08-20,하,700.0
2004-08-21,하,566.6666666666666
2004-08-23,하,866.6666666666666
2004-08-24,하,1033.3333333333333
2004-08-25,하,833.3333333333334
2004-08-26,하,1766.6666666666667
2004-08-27,하,1016.6666666666669
2004-08-28,하,950.0
2004-08-30,하,916.6666666666669
2004-08-31,하,1000.0
2004-09-01,하,1116.6666666666667
2004-09-02,하,1166.6666666666667
2004-09-03,하,1166.6666666666667
2004-09-04,하,1166.6666666666667
2004-09-06,하,1200.0
2004-09-07,하,1166.6666666666667
2004-09-08,하,1266.6666666666667
2004-09-09,하,1333.3333333333333
2004-09-10,하,1133.3333333333333
2004-09-11,하,1050.0
2004-09-13,하,1333.3333333333333
2004-09-14,하,1216.6666666666667
2004-09-15,하,1183.3333333333333
2004-09-16,하,1283.3333333333333
2004-09-17,하,1350.0
2004-09-18,하,1283.3333333333333
2004-09-20,하,1233.3333333333333
2004-09-21,하,1566.6666666666667
2004-09-22,하,1650.0
2004-09-23,하,1650.0
2004-09-24,하,1566.6666666666667
2004-09-25,하,1300.0
2004-09-26,하,1300.0
2004-09-27,하,1300.0
2004-10-01,하,1300.0
2004-10-02,하,1300.0
2005-08-18,하,1100.0
2005-08-19,하,766.6666666666666
2005-08-20,하,1133.3333333333333
2005-08-22,하,1000.0
2005-08-23,하,1100.0
2005-08-24,하,1300.0
2005-08-25,하,1200.0
2005-08-26,하,1000.0
2005-08-27,하,1100.0
2005-08-29,하,1000.0
2005-08-30,하,1033.3333333333333
2005-08-31,하,866.6666666666666
2005-09-01,하,866.6666666666666
2005-09-02,하,800.0
2005-09-03,하,700.0
2005-09-05,하,733.3333333333334
2005-09-06,하,833.3333333333334
2005-09-07,하,933.3333333333334
2005-09-08,하,933.3333333333334
2005-09-09,하,1450.0
2005-09-10,하,1283.3333333333333
2005-09-12,하,1233.3333333333333
2005-09-13,하,1000.0
2005-09-14,하,1150.0
2005-09-15,하,1150.0
2005-09-16,하,1350.0
2005-09-17,하,1350.0
2005-09-21,하,1000.0
2005-09-22,하,533.3333333333334
2005-09-23,하,733.3333333333334
2005-09-24,하,733.3333333333334
2005-09-26,하,666.6666666666666
2005-09-27,하,700.0
2005-09-28,하,766.6666666666666
2005-09-29,하,766.6666666666666
2005-09-30,하,700.0
2005-10-01,하,666.6666666666666
2005-10-03,하,833.3333333333334
2005-10-04,하,766.6666666666666
2005-10-05,하,966.6666666666666
2005-10-06,하,1100.0
2005-10-07,하,933.3333333333334
2005-10-08,하,1233.3333333333333
2005-10-10,하,966.6666666666666
2005-10-11,하,1133.3333333333333
2005-10-12,하,1300.0
2005-10-13,하,900.0
2005-10-14,하,633.3333333333334
2005-10-15,하,866.6666666666666
2005-10-17,하,833.3333333333334
2006-08-21,하,1266.6666666666667
2006-08-22,하,1600.0
2006-08-23,하,1533.3333333333333
2006-08-24,하,1500.0
2006-08-25,하,1066.6666666666667
2006-08-26,하,1300.0
2006-08-28,하,1033.3333333333333
2006-08-29,하,1100.0
2006-08-30,하,933.3333333333334
2006-08-31,하,1366.6666666666667
2006-09-01,하,1066.6666666666667
2006-09-02,하,1300.0
2006-09-04,하,1233.3333333333333
2006-09-05,하,1133.3333333333333
2006-09-06,하,966.6666666666666
2006-09-07,하,933.3333333333334
2006-09-08,하,966.6666666666666
2006-09-09,하,933.3333333333334
2006-09-11,하,966.6666666666666
2006-09-12,하,1350.0
2006-09-13,하,1350.0
2006-09-14,하,1316.6666666666667
2006-09-15,하,1400.0
2006-09-16,하,1283.3333333333333
2006-09-18,하,1483.3333333333333
2006-09-19,하,1316.6666666666667
2006-09-20,하,1483.3333333333333
2006-09-21,하,1450.0
2006-09-22,하,1533.3333333333337
2006-09-23,하,1183.3333333333333
2006-09-25,하,1450.0
2006-09-26,하,1500.0
2006-09-27,하,1316.6666666666667
2006-09-28,하,1266.6666666666667
2006-09-29,하,1200.0
2006-09-30,하,1233.3333333333333
2006-10-02,하,1116.6666666666667
2006-10-03,하,1183.3333333333333
2006-10-04,하,1116.6666666666667
2006-10-05,하,1116.6666666666667
2006-10-09,하,1033.3333333333333
2006-10-10,하,833.3333333333334
2006-10-11,하,700.0
2006-10-12,하,866.6666666666666
2006-10-13,하,566.6666666666666
2006-10-14,하,700.0
2006-10-16,하,600.0
2006-10-17,하,566.6666666666666
