태풍명,영문명,영향도,활동년도,활동시기
시마론,CIMARON,0,2001,5
제비,CHEBI,0,2001,6
투리안,DURIAN,0,2001,6
우토,UTOR,0,2001,7
차미,TRAMI,0,2001,7
콩레이,KONG-REY,0,2001,7
위투,YUTU,0,2001,7
도라지,TORAJI,0,2001,7
파북,PABUK,2,2001,8
마니,MAN-YI,0,2001,8
우사기,USAGI,0,2001,8
서팟,SEPAT,0,2001,8
피토,FITOW,0,2001,8
우딥,WUTIP,0,2001,8
다나스,DANAS,0,2001,9
나리,NARI,0,2001,9
비파,VIPA,0,2001,9
프란시스코,FRANCISCO,0,2001,9
레기마,LEKIMA,0,2001,9
크로사,KROSA,0,2001,10
하이옌,HAIYAN,0,2001,10
버들,PODUL,0,2001,10
링링,LINGLING,0,2001,11
가지키,KAJIKI,0,2001,12
파사이,FAXAI,0,2001,12
와메이,VAMEI,0,2001,12
타파,TAPAH,0,2002,1
미톡,MITAG,0,2002,2
하기비스,HAGIBIS,0,2002,5
너구리,NOGURI,0,2002,6
라마순,RAMMASUN,1,2002,6
차타안,CHATAAN,0,2002,6
나크리,NAKRI,2,2002,7
펑셴,FENGSHEN,2,2002,7
할롱,HALONG,0,2002,7
갈매기,KALMAEGI,0,2002,7
퐁웡,FUNG-WONG,0,2002,7
루사,RUSA,1,2002,8
간무리,KAMMURI,0,2002,8
판폰,PHANFONE,0,2002,8
봉퐁,VONGFONG,0,2002,8
신라쿠,SINLAKU,0,2002,8
엘레,ELE,0,2002,8
하구핏,HAGUPIT,0,2002,9
장미,CHANGMI,0,2002,9
멕클라,MEKKHALA,0,2002,9
히고스,HIGOS,0,2002,9
바비,BAVI,0,2002,10
마이삭,MAYSAK,0,2002,10
허코,HUKO,0,2002,11
하이셴,HAISHEN,0,2002,11
봉선화,PONGSONA,0,2002,12
야냔,YANYAN,0,2003,1
구지라,KUJIRA,0,2003,4
찬홈,CHAN-HOM,0,2003,5
린파,LINFA,2,2003,5
낭카,NANGKA,0,2003,6
소델로,SOUDELOR,2,2003,6
임부도,IMBUDO,0,2003,7
고니,KONI,0,2003,7
아타우,ETAU,2,2003,8
모라콧,MORAKOT,0,2003,8
밤코,VAMCO,0,2003,8
크로반,KROVANH,0,2003,8
두지앤,DUJUAN,0,2003,8
매미,MAEMI,1,2003,9
초이완,CHOI-WAN,0,2003,9
곳푸,KOPPU,0,2003,9
켓사나,KETSANA,0,2003,10
파마,PARMA,0,2003,10
멀로,MELOR,0,2003,10
니파탁,NEPARTAK,0,2003,11
루핏,LUPIT,0,2003,11
수달,SUDAL,0,2004,4
니다,NIDA,0,2004,5
오마이스,OMAIS,0,2004,5
콘손,CONSON,0,2004,6
찬투,CHANTHU,0,2004,6
디앤무,DIANMU,0,2004,6
팅팅,TINGTING,0,2004,6
민들레,MINDULLE,2,2004,6
곤파스,KOMPASU,0,2004,7
남테우른,NAMTHEUN,2,2004,7
메기,MEGI,2,2004,8
차바,CHABA,2,2004,8
송다,SONGDA,2,2004,8
말로우,MALOU,0,2004,8
머란티,MERANTI,0,2004,8
라나님,RANANIM,0,2004,8
말라카스,MALAKAS,0,2004,8
에어리,AERE,0,2004,8
사리카,SARIKA,0,2004,9
하이마,HAIMA,0,2004,9
메아리,MEARI,0,2004,9
망온,MA-ON,0,2004,10
도카게,TOKAGE,0,2004,10
녹텐,NOCK-TEN,0,2004,10
무이파,MUIFA,0,2004,11
므르복,MERBOK,0,2004,11
난마돌,NANMADOL,0,2004,11
탈라스,TALAS,0,2004,12
노루,NORU,0,2004,12
꿀랍,KULAP,0,2005,1
로키,ROKE,0,2005,3
선까,SONCA,0,2005,4
네삿,NESAT,0,2005,6
하이탕,HAITANG,0,2005,7
날개,NALGAE,0,2005,7
바냔,BANYAN,0,2005,7
와시,WASHI,0,2005,7
맛사,MATSA,0,2005,7
나비,NABI,2,2005,8
상우,SANVU,0,2005,8
마와르,MAWAR,0,2005,8
구촐,GUCHOL,0,2005,8
탈림,TALIM,0,2005,8
카눈,KHANUN,0,2005,9
비센티,VICENTE,0,2005,9
사오라,SAOLA,0,2005,9
담레이,DAMREY,0,2005,9
룽왕,LONGWANG,0,2005,9
기러기,KIROGI,0,2005,10
카이탁,KAI-TAK,0,2005,10
덴빈,TEMBIN,0,2005,11
볼라벤,BOLAVEN,0,2005,11
짠쯔,CHANCHU,0,2006,5
즐라왓,JELAWAT,0,2006,6
